id,pos_x,pos_y,pos_z,scale_x,scale_y,scale_z,rot_w,rot_x,rot_y,rot_z,color_r,color_g,color_b,opacity
0,0.792665,-1.289020,-0.080366,0.016330,0.016330,0.016330,1.000000,0.000000,0.000000,0.000000,1.000000,0.924080,0.908393,0.095589
0,0.801716,-1.263680,-0.082884,0.008576,0.008576,0.008576,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,0.843077,-1.280870,-0.077774,0.009343,0.009343,0.009343,1.000000,0.000000,0.000000,0.000000,0.861335,0.759374,0.790746,0.095589
0,-1.790410,-1.279300,0.034455,0.012135,0.012135,0.012135,1.000000,0.000000,0.000000,0.000000,1.000000,0.947609,0.924080,0.095589
0,-1.760630,-1.257060,0.031356,0.004673,0.004673,0.004673,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-1.754750,-1.259020,0.036350,0.008439,0.008524,0.008524,1.000000,0.000000,0.000000,0.000000,0.665256,0.555452,0.516237,0.095589
0,-1.635790,-1.242750,0.030614,0.010551,0.010551,0.010551,1.000000,0.000000,0.000000,0.000000,0.978982,1.000000,1.000000,0.095589
0,-1.414610,-1.246170,-0.142483,0.009565,0.009565,0.009565,1.000000,0.000000,0.000000,0.000000,1.000000,0.971139,0.994668,0.095589
0,-1.268930,-1.217550,-0.157729,0.010232,0.010232,0.010232,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-1.238370,-1.190940,-0.151265,0.009688,0.009688,0.009688,1.000000,0.000000,0.000000,0.000000,0.508394,0.422119,0.453491,0.095589
0,-1.055900,-1.196710,-0.175875,0.014965,0.014965,0.014965,1.000000,0.000000,0.000000,0.000000,0.939766,0.837805,0.861335,0.095589
0,-0.995481,-1.193070,-0.178487,0.009868,0.009868,0.009868,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.940318,-1.197460,-0.179524,0.012322,0.012322,0.012322,1.000000,0.000000,0.000000,0.000000,0.822119,0.735844,0.720158,0.095589
0,-0.893639,-1.205600,-0.179267,0.011067,0.011067,0.011067,1.000000,0.000000,0.000000,0.000000,0.861335,0.665256,0.657413,0.095589
0,-0.871723,-1.214930,-0.174851,0.011473,0.011473,0.011473,1.000000,0.000000,0.000000,0.000000,0.704472,0.571139,0.626041,0.095589
0,-0.852489,-1.197210,-0.163598,0.013767,0.013905,0.013905,1.000000,0.000000,0.000000,0.000000,0.657413,0.539766,0.500550,0.095589
0,-0.815370,-1.186070,-0.167305,0.008919,0.008919,0.008919,1.000000,0.000000,0.000000,0.000000,0.900550,1.000000,1.000000,0.095589
0,-0.731379,-1.186720,-0.174441,0.018390,0.018390,0.018390,1.000000,0.000000,0.000000,0.000000,0.924080,1.000000,1.000000,0.095589
0,-0.707419,-1.207550,-0.186618,0.010692,0.010692,0.010692,1.000000,0.000000,0.000000,0.000000,0.814276,0.673099,0.673099,0.095589
0,-0.632780,-1.216780,-0.188145,0.006942,0.006942,0.006942,1.000000,0.000000,0.000000,0.000000,0.994668,0.806433,0.829962,0.095589
0,-0.632780,-1.216780,-0.188145,0.006942,0.006942,0.006942,1.000000,0.000000,0.000000,0.000000,0.994668,0.806433,0.829962,0.095589
0,-0.586145,-1.190800,-0.199666,0.013614,0.013614,0.013614,1.000000,0.000000,0.000000,0.000000,1.000000,0.829962,0.845648,0.095589
0,-0.500055,-1.183040,-0.204310,0.006313,0.006313,0.006313,1.000000,0.000000,0.000000,0.000000,0.971139,0.720158,0.728001,0.095589
