splat_id,pos_x,pos_y,pos_z,scale_x,scale_y,scale_z,rot_w,rot_x,rot_y,rot_z,opacity,sh0_r,sh0_g,sh0_b,shN_0_r,shN_0_g,shN_0_b,shN_1_r,shN_1_g,shN_1_b,shN_2_r,shN_2_g,shN_2_b,shN_3_r,shN_3_g,shN_3_b,shN_4_r,shN_4_g,shN_4_b,shN_5_r,shN_5_g,shN_5_b,shN_6_r,shN_6_g,shN_6_b,shN_7_r,shN_7_g,shN_7_b,shN_8_r,shN_8_g,shN_8_b,shN_9_r,shN_9_g,shN_9_b,shN_10_r,shN_10_g,shN_10_b,shN_11_r,shN_11_g,shN_11_b,shN_12_r,shN_12_g,shN_12_b,shN_13_r,shN_13_g,shN_13_b,shN_14_r,shN_14_g,shN_14_b
24768,-1.0563,-1.45076,-0.165747,0.0133911,0.0133911,0.0133911,1,0,0,0,0.5,0.382294,0.423999,0.354491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24769,-1.02622,-1.49822,-0.0824272,0.0096976,0.0096976,0.0096976,1,0,0,0,0.5,0.563015,0.465704,0.17377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24770,-1.02613,-1.49852,-0.0813273,0.00959162,0.00959162,0.00959162,1,0,0,0,0.5,0.563015,0.465704,0.17377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24771,-0.964097,-1.45255,-0.168971,0.00899561,0.00899561,0.00899561,1,0,0,0,0.5,0.215475,0.243278,0.17377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24772,-0.802359,-1.49984,-0.0907569,0.0109721,0.0109721,0.0109721,1,0,0,0,0.5,0.229376,0.0625573,-0.132065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24773,-0.798423,-1.48625,-0.097771,0.011858,0.011858,0.011858,1,0,0,0,0.5,0.340589,0.243278,0.0486557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24774,-0.544089,-1.49328,-0.0561253,0.0216962,0.0216962,0.0216962,1,0,0,0,0.5,0.298884,0.354491,0.271081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24775,-0.485787,-1.50586,-0.103482,0.0147319,0.0147319,0.0147319,1,0,0,0,0.5,-0.0903604,-0.368392,-0.465704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24776,-0.439641,-1.49221,-0.108026,0.011379,0.011379,0.011379,1,0,0,0,0.5,0.493507,0.4379,0.312786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24777,-0.376308,-1.46545,-0.192152,0.00899968,0.00899968,0.00899968,1,0,0,0,0.5,-0.632523,-0.576916,-0.60472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24778,-0.313193,-1.46058,-0.195316,0.0107231,0.0107231,0.0107231,1,0,0,0,0.5,0.549113,0.576916,0.52131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24779,-0.95465,-1.37534,-0.12649,0.0110483,0.0110483,0.0110483,1,0,0,0,0.5,-0.0764588,-0.118164,-0.243278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24780,-0.805396,-1.42892,-0.147486,0.0115316,0.0115316,0.0115316,1,0,0,0,0.5,-0.966161,-1.10518,-1.13298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24781,-0.710825,-1.43041,-0.148926,0.00963719,0.00963719,0.00963719,1,0,0,0,0.5,-0.95226,-1.14688,-1.21639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
